item,itemLabel,minister,ministerLabel
Q15835286,Kuwait Ministry of Awqaf and Islamic Affairs,Q110525626,Kuwait Minister of Awqaf and Islamic Affairs
Q60752885,Ministry Of Social Affairs And Labour,Q109243768,Minister of Social Affairs
Q17068462,Ministry of Commerce and Industry,Q97734029,Minister of Trade and Industry
Q16257919,Ministry of Defense,Q104382486,Minister of Defense
Q104178104,Ministry of Electricity and Water and Renewable Energy,Q110526402,Minister of Electricity and Water and Renewable Energy
Q16257922,Ministry of Foreign Affairs,Q110525652,Minister of Foreign Affairs
Q96679148,Ministry of Health,Q110526428,Minister of Health
Q104176091,Ministry of Higher Education,Q110526438,Minister of Higher Education
Q105408529,Ministry of Information,Q110526654,Minister of Information
Q17064142,Ministry of Interior (Kuwait),Q110526608,Minister of Interior
Q55648354,Ministry of Justice (Kuwait),Q110526408,Minister of Justice (Kuwait)
Q17069140,Ministry of Oil,Q108599663,Minister of oil
Q101866096,Ministry of Public Works,Q110526419,Minister of Public Works
Q22934979,Ministry of Transportation,Q110526455,Minister of Transportation
