name,wdid,pid,position
صباح الخالد الصباح,Q12219691,Q2035020,رئيس الوزراء
حمد جابر العلي الصباح,Q96202201,Q16257919,نائب رئيس الوزراء ووزير الدفاع
أحمد ناصر المحمد الصباح,Q12179124,Q16257922,وزير الخارجية
ثامر العلي الصباح,Q104175576,Q17064142,وزير الداخلية
أحمد ناصر المحمد الصباح,Q12179124,,وزير الأمانة العامة لمجلس الوزراء
عيسى الكندري,Q54875312,Q15835286,وزير الأوقاف والشؤون الإسلامية
عبد الله السلمان,Q106427761,Q17068462,وزير التجارة والصناعة
علي المضف,Q104175573,Q104176127,وزير التربية
مشعان العتيبي,Q106087794,Q104178104,وزير الكهرباء والماء
خليفة حمادة,Q104175578,Q15640179,وزير المالية
باسل حمود الحمد الصباح,Q47499713,Q96679148,وزير الصحة
محمد عبد اللطيف الفارس,Q96041531,Q104176091,وزير التعليم العالي
عبد الله الرومي,Q4665936,Q55648354,نائب رئيس مجلس الوزراء ووزير العدل ووزير دولة لشؤون تعزيز النزاهة
محمد عبد اللطيف الفارس,Q96041531,Q17069140,وزير النفط
رنا الفارس,Q79351786,Q101866096,وزير الأشغال العامة
شايع عبد الرحمن الشايع,Q87073852,,وزير الشؤون البلدية
مشعان العتيبي,Q106087794,Q60752885,وزير الشؤون الإجتماعية والعمل
خليفة حمادة,Q104175578,,وزير الدولة للشؤون الإقتصادية
شايع عبد الرحمن الشايع,Q87073852,Q104178419,وزير الإسكان
رنا الفارس,Q79351786,Q22934979,وزير المواصلات
مبارك الحريص,Q85848781,,وزير شؤون مجلس الأمة
عبد الرحمن بداح المطيري,Q104175575,Q22934927,وزير الدولة لشؤون الشباب
