wdid,name,wdLabel,source,sourceDate,pid,position,startDate,endDate,psid
Q104175573,Ali Fahad Al-Mudhaf,Ali Fahad Al-Mudhaf,,,Q110526438,Minister of Higher Education,2020-12-14,,Q104175573-5E314C51-6DF9-4CF7-BF59-449518B743BE
Q104175573,Ali Fahad Al-Mudhaf,Ali Fahad Al-Mudhaf,,,Q110526390,Minister of Education,2020-12-14,,Q104175573-B7730B8E-2F3F-42F9-A9C2-E8B664E45D57
Q104175575,Abdurrahman Baddah Al-Mutairi,Abdurrahman Baddah Al-Mutairi,,,Q110529903,Minister of State for Youth Affairs,2020-12-14,2021-12-28,Q104175575-6ABBAE63-3FC6-4C85-9A1C-95FBA314347B
Q104175576,Thamer Ali Sabah Al-Salem Al-Sabah,Thamer Ali Sabah Al-Salem Al-Sabah,,,Q110526608,Minister of Interior,2020-12-14,2021-12-28,Q104175576-7AEFD479-2BE3-4F94-92C1-D42D560D3469
Q104175578,Khalifa Musaed Hamada,Khalifa Musaed Hamada,,,Q110525649,Minister of Finance (Kuwait),2020-12-14,2021-12-28,Q104175578-A0EFC480-1F88-49EF-873B-6EB885E7B946
Q106087794,Dr. Meshaan M. Al-Otaibi,Dr. Meshaan M. Al-Otaibi,,,Q109243768,Minister of Social Affairs,2021-03-02,2021-12-28,Q106087794-0AFFC878-191C-405C-B863-81155583151D
Q106087794,Dr. Meshaan M. Al-Otaibi,Dr. Meshaan M. Al-Otaibi,,,Q110526402,Minister of Electricity and Water and Renewable Energy,2021-03-02,2021-12-28,Q106087794-2AA40D65-B9F5-4728-846A-6912736C9489
Q106427761,Abdullah Issa Al-Salman,Abdullah Issa Al-Salman,,,Q97734029,Minister of Trade and Industry,2021-03-02,2021-12-28,Q106427761-6AE4B525-5643-499E-B758-AA5600AE7C51
Q12179124,Ahmad Nasser al-Mohammed al-Sabah,Ahmad Nasser al-Mohammed al-Sabah,,,Q110525652,Minister of Foreign Affairs,2019-12-17,,Q12179124-C88A38A9-7D5D-47A0-89E7-2A62A2E5443C
Q12240740,Mohammad Abdullah Al-Mubarak Al-Sabah,Mohammad Abdullah Al-Mubarak Al-Sabah,,,Q110526641,Minister of the Amiri Diwan,2021-08-11,,Q12240740-470244E9-61F8-43D0-A959-B3BDF30F43BA
Q4665936,Abdullah Al-Roumi,Abdullah Al-Roumi,,,Q110526408,Minister of Justice (Kuwait),2021-03-02,2021-11-14,Q4665936-2DFA6D47-9044-4564-861F-5FA8ABE56D90
Q47499713,Basil Hammoud Al-Hamad Al-Sabah,Basil Hammoud Al-Hamad Al-Sabah,,,Q110526428,Minister of Health,2017-12-11,2021-12-28,Q47499713-87ABAA2C-E37E-4701-9C5E-6CE3A4841AC9
Q54875312,Essa Al-Kandari,Essa Al-Kandari,,,Q109243768,Minister of Social Affairs,2020-12-14,2021-03-02,Q54875312-4AF2A6F7-F761-442E-9681-B36C5AB15A16
Q54875312,Essa Al-Kandari,Essa Al-Kandari,,,Q110525626,Kuwait Minister of Awqaf and Islamic Affairs,2021-03-02,,Q54875312-FA5F7F52-643E-4D65-B16F-F5191D6DED38
Q79351786,Rana Abdullah Al-Fares,Rana Abdullah Al-Fares,,,Q110526419,Minister of Public Works,2019-12-17,2021-11-14,Q79351786-5555550E-C69B-4156-B0C1-006ABDD0C8BE
Q85848781,Mubarak Al-Harris,Mubarak Al-Harris,,,Q110529897,Minister of State For National Assembly Affairs,2019-12-17,2021-11-14,Q85848781-9E7A3235-D678-4D38-AD4C-CA27212CCCA6
Q87073852,Shaya Abdurrahman Ahmad Al-Shaya,Shaya Abdurrahman Ahmad Al-Shaya,,,Q110529873,Minister of State For Municipal Affairs,2021-03-02,2021-11-14,Q87073852-7D9AA806-CC03-4D3B-A8D6-8AB497E5436D
Q96041531,Mohammad Abdullatif Al-Fares,Mohammad Abdullatif Al-Fares,,,Q108599663,Minister of oil,2020-12-14,,Q96041531-ae747a27-4c32-e492-618c-6fd0e697f179
Q96202201,Hamad Jaber Al-Ali Al-Sabah,Hamad Jaber Al-Ali Al-Sabah,,,Q104382486,Minister of Defense,2020-12-14,,Q96202201-FFCFF537-2019-4661-8715-DE8F7D1277E5
