item,itemLabel,startDate,endDate,sourceDate,psid
Q313661,Saad Al-Salim Al-Sabah,1978-02-08,2003-07-13,2022-05-29,Q313661-B7143261-0370-4966-847D-114544846548
Q57555,Sabah Al-Ahmad Al-Jaber Al-Sabah,2003-07-13,2006-01-30,2022-05-29,Q57555-0DFC6692-D1D2-44F6-AB86-411CCF118D73
Q334718,Nasser Al-Mohammed Al-Sabah,2006-02-07,2011-11-28,2022-05-29,Q334718-2ADFC901-B24A-4FB4-8AAC-7CA1B14D416F
Q57894,Jaber Al-Mubarak Al-Hamad Al-Sabah,2011-12-04,2019-11-19,,Q57894-03CBA9D3-50FC-45E8-8477-9CA55D1C5371
Q12219691,Sabah Al-Khalid Al-Sabah,2019-11-19,,,Q12219691-5A814516-D156-4DB1-843A-6981666BF537
