wdid,name,arname,pid,position,arposition
Q12219691,Sabah Al-Khalid Al-Sabah,صباح الخالد الصباح,Q2035020,list of Prime Ministers of Kuwait,رئيس الوزراء
Q96202201,حمد جابر العلي الصباح,حمد جابر العلي الصباح,Q16257919,Ministry of Defense,نائب رئيس الوزراء ووزير الدفاع
Q12179124,Ahmad Nasser al-Mohammed al-Sabah,أحمد ناصر المحمد الصباح,Q16257922,Ministry of Foreign Affairs,وزير الخارجية
Q104175576,ثامر علي الصباح,ثامر العلي الصباح,Q17064142,Ministry of Interior (Kuwait),وزير الداخلية
Q12179124,Ahmad Nasser al-Mohammed al-Sabah,أحمد ناصر المحمد الصباح,,,وزير الأمانة العامة لمجلس الوزراء
Q54875312,عيسى الكندري,عيسى الكندري,Q15835286,Kuwait Ministry of Awqaf and Islamic Affairs,وزير الأوقاف والشؤون الإسلامية
Q106427761,عبد الله السلمان (سياسي),عبد الله السلمان,Q17068462,Ministry of Commerce and Industry,وزير التجارة والصناعة
Q104175573,علي المضف,علي المضف,Q104176127,Ministry of Education,وزير التربية
Q106087794,Dr. Meshaan M. Al-Otaibi,مشعان العتيبي,Q104178104,Ministry of Electricity and Water and Renewable Energy,وزير الكهرباء والماء
Q104175578,خليفة حمادة,خليفة حمادة,Q15640179,Ministry of Finance (Kuwait),وزير المالية
Q47499713,Basil Hammoud Al-Hamad Al-Sabah,باسل حمود الحمد الصباح,Q96679148,Ministry of Health,وزير الصحة
Q96041531,محمد الفارس (سياسي),محمد عبد اللطيف الفارس,Q104176091,Ministry of Higher Education,وزير التعليم العالي
Q4665936,Abdullah Al-Roumi,عبد الله الرومي,Q55648354,Ministry of Justice (Kuwait),نائب رئيس مجلس الوزراء ووزير العدل ووزير دولة لشؤون تعزيز النزاهة
Q96041531,محمد الفارس (سياسي),محمد عبد اللطيف الفارس,Q17069140,Ministry of Oil,وزير النفط
Q79351786,رنا الفارس,رنا الفارس,Q101866096,Ministry of Public Works,وزير الأشغال العامة
Q87073852,شايع عبد الرحمن الشايع,شايع عبد الرحمن الشايع,,,وزير الشؤون البلدية
Q106087794,Dr. Meshaan M. Al-Otaibi,مشعان العتيبي,Q104184823,وزارة الشؤون الاجتماعية (الكويت),وزير الشؤون الإجتماعية والعمل
Q104175578,خليفة حمادة,خليفة حمادة,,,وزير الدولة للشؤون الإقتصادية
Q87073852,شايع عبد الرحمن الشايع,شايع عبد الرحمن الشايع,Q104178419,Minister of Housing,وزير الإسكان
Q79351786,رنا الفارس,رنا الفارس,Q22934979,Ministry of Transportation,وزير المواصلات
Q85848781,Mubarak Al-Harris,مبارك الحريص,,,وزير شؤون مجلس الأمة
Q104175575,عبد الرحمن بداح المطيري,عبد الرحمن بداح المطيري,Q22934927,وزارة الدولة لشئون الشباب,وزير الدولة لشؤون الشباب
