wdid,name,wdLabel,source,sourceDate,pid,position,startDate,endDate,psid
Q12219691,Sabah Al-Khalid Al-Sabah,Sabah Al-Khalid Al-Sabah,https://en.wikipedia.org/wiki/Sabah_Al-Khalid_Al-Sabah,2022-01-11,Q110525652,Minister of Foreign Affairs,2011-10-22,2019-11-19,Q12219691-615D953B-909F-4F15-AC14-96B719CEEB40
Q12219691,Sabah Al-Khalid Al-Sabah,Sabah Al-Khalid Al-Sabah,https://en.wikipedia.org/wiki/Sabah_Al-Khalid_Al-Sabah,2022-01-11,Q110526533,Deputy Prime Minister of Kuwait,2011-12-04,2019-11-19,Q12219691-ED9E097C-6A1E-4687-92CC-6444B8133C6C
Q12247753,Nasser Sabah Al-Ahmad Al-Sabah,Nasser Sabah Al-Ahmad Al-Sabah,,,Q104382486,Minister of Defense,2017-12-11,2019-11-18,Q12247753-0b880e65-4855-66e1-4da1-7394d4d4fa98
