item,itemLabel,startDate,endDate,sourceDate,psid
Q12227954,Ali Mohammed Al-Moumen,1993,2003-01-02,2022-05-29,Q12227954-53FAD61B-0FF2-47E0-A587-AF22035050B5
Q109257335,Fahed Ahmad Al-Amir,2003-01-02,2009,,Q109257335-9C0E9073-6ECE-4463-AC5D-02DC808AD8FF
Q16159745,Ahmad Al-Khalid Al-Sabah,2009,2012-03-04,2022-05-29,Q16159745-47959E99-0D27-4834-A72E-6753981F6CED
Q16852103,Khaled Al-Jarrah Al-Sabah,2012-03-04,2013-08-04,2022-05-29,Q16852103-AB44E1BE-923B-4B4F-973E-AF3A2D2C02C7
Q109257336,Abdul Rahman Mohammed Al-Othman,2013-08-04,2014-04-14,,Q109257336-2DC978E4-F201-41F8-A4F0-525A8D002780
Q20684349,Mohammed Khaled Al-Khadher,2014-04-14,2020-10-01,,Q20684349-ED2320F8-7043-4310-99E6-C832F56985DF
Q109257337,Khaled Saleh Mohammed Al-Sabah,2020-10-22,,,Q109257337-75342134-A0E1-44B0-A2BE-FA3D2CE1D1A9
