item,itemLabel,startDate,endDate
Q12240656,محمد ضبف الله شرار,1999-07-07,2006-07-10
,أسماعيل خضر الشطي,2006-07-10,2007-03-25
Q12231634,فيصل محمد الحجي,2007-03-25,2009-05-29
Q7370752,روضان عبدالعزيز الروضان,2009-05-29,2011-05-08
Q4724623,علي فهد الراشد,2011-05-08,2011-12-14
Q12219691,الشيخ صباح الخالد الحمد الصباح,2011-12-14,2012-07-19
Q12240740,الشيخ محمد عبدالله المبارك الصباح,2012-07-19,2017-12-11
Q16214166,أنس خالد الصالح,2017-12-11,2021-03-02
Q12179124,الشيخ الدكتور أحمد ناصر المحمد الصباح,2021-03-02,2022-03-22
Q96041531,الدكتور محمد عبداللطيف الفارس,2022-03-22,
