@@,item,itemlabel,startdate,enddate
+++,Q16151955,Ahmad Al Abdullah Al Sabah,1999,2001
+++,,Youssef Hamad Al-Ibrahim,2001,2003
+++,Q3327520,Muhammad Sabah Al-Salem Al-Sabah,2003-01,2003-07
+++,,Mahmoud Abdel-Khaleq Al-Nouri,2003-07,2005
+++,,Badr Mishary Al-Humaidhi,2005,2007
+++,Q6943270,Mustafa Jassem Al-Shamali,2007,2012-05
+++,,Nayef Falah Al-Hajraf,2012-05,2013-08
+++,Q16214166,Anas Khalid Al Saleh,2014-01,2017-12
+++,,Nayef Falah Al-Hajraf,2017-12,2019-12
+++,Q84579920,Mariam Al-Aqeel,2019-12,2020-02
->,Q85327370,Barak Ali Barak Al-Sheetan,2020-02-16,2022-12-14->2020-12
+++,,Abdulwahab Mohammed Al Rushaid,2021-12,
---,Q37996526,Abdulwahab Al-Rushaid,2021-12-28,
