item,itemLabel,startDate,endDate,sourceDate,psid
Q16151955,Ahmad Al Abdullah Al Sabah,1999,2001,2022-06-20,Q16151955-C544BF38-9AB1-48FA-B6B3-72A2E253945F
Q3327520,Muhammad Sabah Al-Salem Al-Sabah,2003-01,2003-07,2022-06-20,Q3327520-5CE07C01-C057-4DDB-87E4-B9A07C5CF1DD
Q6943270,Mustafa Jassem Al-Shamali,2007,2012-05,2022-06-20,Q6943270-F761B3F8-EB1F-46FB-9D35-8A7EDE262922
Q12215118,Salem Abdulaziz Al Sabah,2013-08-04,2014-01,,Q12215118-BBFD3DA5-4C83-4A2B-890B-FB7A4A412691
Q16214166,Anas Khalid Al Saleh,2014-01,2017-12,2022-06-20,Q16214166-D08FBF1A-DBD7-444E-906A-5D5C27106B9D
Q84579920,Mariam Al-Aqeel,2019-12,2020-02,2022-06-20,Q84579920-5A518514-5276-4683-AAE9-382C0F720807
Q85327370,Barak Ali Barak Al-Sheetan,2020-02-16,2020-12-14,,Q85327370-d60a7dc1-4e06-f16e-8a84-6f044be02895
Q104175578,Khalifa Musaed Hamada,2020-12-14,2021-12-28,,Q104175578-A0EFC480-1F88-49EF-873B-6EB885E7B946
Q37996526,Abdulwahab Mohammed Al Rushaid,2021-12-28,,2022-06-20,Q37996526-0AAB5320-2D96-42AE-9E93-DF9EB5A7DB57
