item,itemLabel,startDate,endDate
"",Mubarak Abdullah Al-Jaber Al-Sabah,1963-03,1980
,Abdullah Faraj Al-Ghanim,1980,1986
,Mezyad Abdel Rahman Al-Saneh,1987,1991
Q12204080,Jaber Khaled Jaber Al-Sabah,1992,1993
Q12227954,Ali Mohammed Al-Moumen,1993,2003-01-02
,Fahed Ahmad Al-Amir,2003-01-02,2009
Q16159745,Ahmad Al-Khalid Al-Sabah,2009,2012-03-04
Q16852103,Khaled Al-Jarrah Al-Sabah,2012-03-04,2013-08-04
,Abdul Rahman Mohammed Al-Othman,2013-08-04,2014-04-14
Q20684349,Mohammed Khaled Al-Khadher,2014-04-14,2020-10-01
,Khaled Saleh Mohammed Al-Sabah,2020-10-22,
