@@,name,position
->,Mohammad Abdullatif Al-Fares->Ahmad Nasir Al-Muhammad Al-Sabah,Minister of State for Cabinet Affairs
---,Ali Husain Ali Al Mousa,Minister of Electricity and Water and Renewable Energy
+++,Sabah Khalid Al-Hamad Al-Sabah,Prime Minister ​
+++,Mubarak Zaid Al Aro Al Mutairi,Public Authority for Housing Welfare
+++,Dr.Muhammad Abd Alatef Al-Faris,Minister of Electricity and Water and Sustainable Energy
+++,Ahmad Nawaf Al Ahmad Al Subah,First Deputy Prime Minister
+++,Ahmad Nasir Al-Muhammad Al-Sabah,The Council of Ministers General Secretariat (CMGS)
