item,itemLabel,startDate,endDate,sourceDate,psid
Q16934197,محمد الخالد الحمد الصباح,1996-10-15,2003-07-13,2022-05-29,Q16934197-AD7FFC94-FF79-421C-82F5-4556F910FD56
Q641805,نواف الأحمد الجابر الصباح,2003-07-13,2006-02-07,2022-05-29,Q641805-4F7A9DED-6BEC-4597-99E9-C12964ED2B25
Q57894,جابر مبارك الحمد الصباح,2006-02-09,2007-10-28,2022-05-29,Q57894-96E164D4-FA30-4037-8AA1-FAFBAA476E2C
Q12204080,جابر خالد جابر الصباح,2007-10-28,2011-02-06,2022-05-29,Q12204080-D5924FF7-0A49-4E9C-A5FC-9A8EB605B739
Q12178548,أحمد الحمود الجابر الصباح,2011-02-06,2013-08-04,2022-05-29,Q12178548-A6BE1138-9F7C-44FD-A82C-8CEF774E493B
Q16934197,محمد الخالد الحمد الصباح,2013-08-04,2016-12-10,,Q16934197-E450B770-294E-489B-8757-02A3719FE4FD
Q16852103,خالد الجراح الصباح,2016-12-10,2019-11-18,2022-05-29,Q16852103-FA1BCC01-5C33-47CA-B354-E266BEC00C9C
Q16214166,أنس خالد الصالح,2019-11-18,2020-12-14,2022-05-29,Q16214166-82DCB695-0619-4446-82E2-B3C57EEA34EC
Q104175576,ثامر علي الصباح,2020-12-14,2021-12-28,,Q104175576-7AEFD479-2BE3-4F94-92C1-D42D560D3469
Q79180644,أحمد منصور الأحمد الصباح,2021-12-28,2022-02-17,,Q79180644-ba814eb7-42a2-88f2-d46c-83483f89bc2c
Q96041531,محمد الفارس (سياسي),2022-02-17,2022-03-09,,Q96041531-88c283be-4e22-bfe5-eaec-985ea5457152
Q109259869,أحمد نواف الأحمد الصباح,2022-03-09,,2022-05-29,Q109259869-1ABF96D8-D5DB-490C-A7BD-996C54127F79
